From,To,ProbabilityOfTags
!,!,0.08421305182341651
!,#,0.005038387715930902
!,",",0.3241362763915547
!,@,0.007437619961612284
!,A,0.019433781190019192
!,D,0.04102687140115163
!,E,0.02903071017274472
!,END,0.1729846449136276
!,G,0.007437619961612284
!,L,0.02903071017274472
!,N,0.03622840690978887
!,O,0.09141074856046065
!,P,0.0314299424184261
!,R,0.021833013435700575
!,U,0.007437619961612284
!,V,0.04102687140115163
!,^,0.03622840690978887
!,~,0.012236084452975048
#,!,0.012295081967213115
#,#,0.2933255269320843
#,$,0.012295081967213115
#,",",0.08840749414519905
#,@,0.006440281030444965
#,D,0.006440281030444965
#,E,0.012295081967213115
#,END,0.39871194379391095
#,G,0.02400468384074941
#,N,0.018149882903981264
#,O,0.012295081967213115
#,P,0.018149882903981264
#,R,0.006440281030444965
#,U,0.02400468384074941
#,V,0.012295081967213115
#,^,0.018149882903981264
#,~,0.02985948477751756
$,!,0.00938337801608579
$,$,0.018319928507596065
$,&,0.00938337801608579
$,",",0.22386058981233242
$,A,0.06300268096514745
$,END,0.054066130473637175
$,G,0.00938337801608579
$,M,0.004915102770330653
$,N,0.2908847184986595
$,O,0.022788203753351204
$,P,0.1613047363717605
$,R,0.022788203753351204
$,S,0.004915102770330653
$,U,0.004915102770330653
$,V,0.03172475424486148
$,^,0.054066130473637175
$,~,0.00938337801608579
&,!,0.012311358220810167
&,$,0.03216838760921366
&,",",0.008339952343129467
&,@,0.016282764098490863
&,A,0.07585385226370135
&,D,0.09173947577442415
&,G,0.004368546465448769
&,L,0.05599682287529785
&,N,0.16719618745035741
&,O,0.15925337569499604
&,P,0.020254169976171563
&,R,0.06393963463065926
&,U,0.004368546465448769
&,V,0.20691024622716442
&,^,0.07585385226370135
",",!,0.06012555471371361
",",#,0.022242666955298192
",",$,0.01845437817945665
",",&,0.02765450806364325
",",",",0.026030955731139734
",",@,0.013042537071111594
",",A,0.030901612728650288
",",D,0.035231085615326334
",",E,0.02548977162030523
",",END,0.22139841974239638
",",G,0.01737200995778764
",",L,0.042807663167009416
",",N,0.06445502760038965
",",O,0.07527870981707976
",",P,0.030901612728650288
",",R,0.043890031388678426
",",U,0.05254897716203052
",",V,0.10342028358047407
",",X,0.0016776707435869683
",",Y,0.0005953025219179566
",",Z,0.0016776707435869683
",",^,0.061207922935382617
",",~,0.023325035176967206
@,!,0.12886199794026776
@,#,0.011714727085478887
@,$,0.006565396498455201
@,&,0.013002059732234809
@,",",0.051622039134912465
@,@,0.09925334706488156
@,A,0.022013388259526263
@,D,0.016864057672502576
@,E,0.009140061791967044
@,END,0.031024716786817716
@,G,0.009140061791967044
@,L,0.031024716786817716
@,N,0.04261071060762101
@,O,0.0902420185375901
@,P,0.02587538619979403
@,R,0.04003604531410917
@,S,0.001416065911431514
@,U,0.018151390319258498
@,V,0.0773686920700309
@,X,0.002703398558187436
@,^,0.028450051493305872
@,~,0.24214727085478888
A,!,0.011521904279564447
A,#,0.0013927576601671311
A,$,0.0203849075715371
A,&,0.03304634084578375
A,",",0.1520638136237022
A,@,0.0026589009875917957
A,A,0.03178019751835908
A,D,0.010255760952139783
A,E,0.0026589009875917957
A,END,0.03431248417320841
A,G,0.0051911876424411245
A,L,0.007723474297290454
A,N,0.46733350215244374
A,O,0.014054190934413777
A,P,0.11914408711066092
A,R,0.021651050898961764
A,T,0.0013927576601671311
A,U,0.00392504431501646
A,V,0.01785262091668777
A,^,0.03304634084578375
A,~,0.007723474297290454
D,!,0.001076531610882756
D,#,0.001076531610882756
D,$,0.013799177921315325
D,&,0.001076531610882756
D,",",0.022607163828537877
D,@,0.003033861812487767
D,A,0.18310824036014875
D,D,0.008905852417302799
D,E,0.0020551967116852615
D,END,0.004012526913290272
D,G,0.006948522215697788
D,L,0.0020551967116852615
D,N,0.5833822665883736
D,O,0.005969857114895283
D,P,0.01282051282051282
D,R,0.01575650812292034
D,S,0.005969857114895283
D,T,0.003033861812487767
D,U,0.0020551967116852615
D,V,0.02847915443335291
D,Z,0.001076531610882756
D,^,0.08817772558230573
D,~,0.003033861812487767
E,!,0.04885404101326899
E,#,0.012665862484921592
E,&,0.0066344993968636915
E,",",0.04282267792521109
E,D,0.0066344993968636915
E,E,0.10916767189384802
E,END,0.5554885404101326
E,G,0.012665862484921592
E,L,0.01869722557297949
E,N,0.012665862484921592
E,O,0.04282267792521109
E,P,0.0066344993968636915
E,R,0.01869722557297949
E,U,0.03075995174909529
E,V,0.03075995174909529
E,~,0.03679131483715319
G,!,0.01904176904176904
G,$,0.03132678132678132
G,",",0.10503685503685503
G,@,0.03132678132678132
G,A,0.043611793611793605
G,D,0.02518427518427518
G,E,0.006756756756756757
G,END,0.11117936117936118
G,G,0.10503685503685503
G,N,0.06818181818181818
G,O,0.043611793611793605
G,P,0.01904176904176904
G,R,0.012899262899262898
G,U,0.08046683046683045
G,V,0.06818181818181818
G,^,0.07432432432432431
G,~,0.14803439803439802
L,$,0.011841100076394193
L,",",0.004201680672268907
L,A,0.15317035905271198
L,D,0.10351413292589763
L,G,0.004201680672268907
L,N,0.038579067990832695
L,O,0.019480519480519477
L,P,0.0920550038197097
L,R,0.19518716577540107
L,T,0.011841100076394193
L,V,0.35179526355996943
L,^,0.008021390374331552
M,A,0.22916666666666666
M,V,0.22916666666666666
N,!,0.011779613290782804
N,#,0.0038013891496151675
N,$,0.006147925661723295
N,&,0.034775671109442456
N,",",0.29758776046555285
N,@,0.009433076778674675
N,A,0.014126149802890932
N,D,0.011310305988361179
N,E,0.013656842500469307
N,END,0.037122207621550586
N,G,0.012718227895626056
N,L,0.004740003754458419
N,N,0.13849258494462174
N,O,0.024920217758588322
N,P,0.19715599774732495
N,R,0.03430636380702083
N,T,0.002862774544771916
N,U,0.016941993617420686
